ITEM: TIMESTEP
4000
ITEM: NUMBER OF ATOMS
2220
ITEM: BOX BOUNDS xy xz yz pp pp pp
-0.000142738 0.0003606 -0.000142738
0 0.0009015 0
0 9.015e-05 0
ITEM: ATOMS x y z vx vy vy c_rho_peratom id type 
0.00010047 8.96601e-06 8.78809e-05 0.000440456 2.66639e-06 2.66639e-06 1221.05 1 1 
-1.3104e-07 0.000894304 7.71729e-05 0.0447203 -1.45363e-06 -1.45363e-06 1184.93 2 1 
0.000158186 1.17736e-05 1.10846e-06 0.000589596 -9.7861e-07 -9.7861e-07 1137.92 3 1 
4.14036e-05 0.000887765 1.42229e-06 0.0443885 1.13931e-08 1.13931e-08 1216 4 1 
-8.62893e-05 0.000885265 4.16044e-07 0.0442604 1.29114e-06 1.29114e-06 1264.7 5 1 
0.000236281 1.56939e-05 8.18642e-05 0.000794274 -3.35123e-06 -3.35123e-06 1187.58 6 1 
9.80403e-05 0.000892123 7.26064e-06 0.0446112 -1.03332e-06 -1.03332e-06 1192.77 7 1 
0.000276309 6.7405e-06 7.86494e-05 0.000334261 1.10588e-06 1.10588e-06 1168.23 8 1 
0.000322142 9.90821e-06 6.95778e-07 0.000499484 -9.08705e-07 -9.08705e-07 1235.1 9 1 
0.000323897 2.97214e-05 7.97305e-05 0.00149036 -1.89458e-06 -1.89458e-06 1206.87 10 1 
0.000357687 1.64704e-05 7.37879e-06 0.000818586 2.08752e-06 2.08752e-06 1211.18 11 1 
3.61649e-05 1.45362e-05 3.2329e-06 0.000720127 2.92357e-06 2.92357e-06 1195.83 12 1 
-0.000112516 0.000889212 2.29538e-06 0.0444613 -1.08918e-07 -1.08918e-07 1191.27 13 1 
6.45231e-05 7.22533e-06 9.6163e-06 0.00035988 1.51108e-06 1.51108e-06 1254.74 14 1 
0.000174206 0.000898256 2.06349e-05 0.0449165 -2.10731e-06 -2.10731e-06 1243.54 15 1 
0.000100682 4.23784e-05 8.5903e-05 0.00212144 1.59612e-07 1.59612e-07 1206.21 16 1 
0.000134985 3.89743e-05 9.41348e-06 0.00194382 2.41186e-06 2.41186e-06 1190.47 17 1 
0.000152313 3.02418e-05 6.84321e-06 0.00150625 3.45371e-06 3.45371e-06 1136.29 18 1 
0.000183461 5.65065e-05 8.97512e-05 0.00282133 1.65901e-06 1.65901e-06 1198.81 19 1 
0.000190994 3.33394e-05 2.2437e-05 0.00167064 -2.51986e-06 -2.51986e-06 1200.03 20 1 
0.00021822 4.15062e-05 4.03518e-06 0.00207461 9.40333e-07 9.40333e-07 1181.69 21 1 
0.000236045 2.63214e-05 4.27627e-06 0.00131443 1.06648e-06 1.06648e-06 1222.75 22 1 
0.000269926 2.93278e-05 8.90105e-05 0.00147444 -3.0946e-06 -3.0946e-06 1174.29 23 1 
0.000308264 4.93413e-05 1.52749e-05 0.00247274 -3.63054e-06 -3.63054e-06 1205.24 24 1 
0.000318727 4.66737e-05 8.02559e-05 0.00233642 -2.26984e-06 -2.26984e-06 1197.66 25 1 
0.000341607 3.31496e-05 4.63576e-06 0.0016596 -2.22062e-07 -2.22062e-07 1223.99 26 1 
1.42409e-07 3.32814e-05 1.81069e-05 0.00166446 -2.1012e-07 -2.1012e-07 1198.23 27 1 
2.94719e-05 3.28177e-05 4.62977e-06 0.00163785 3.28656e-07 3.28656e-07 1198.31 28 1 
6.94853e-05 4.87379e-05 8.30332e-05 0.00243906 1.93889e-07 1.93889e-07 1212.5 29 1 
8.51031e-05 3.3562e-05 8.2205e-05 0.00168148 -2.38245e-06 -2.38245e-06 1209.19 30 1 
0.000139907 6.40301e-05 8.79746e-05 0.00320481 -1.81902e-06 -1.81902e-06 1177.81 31 1 
0.00013943 4.26789e-05 8.99526e-05 0.00213877 -9.76861e-07 -9.76861e-07 1176.68 32 1 
0.000180194 7.53785e-05 1.29406e-07 0.00376965 -7.99307e-07 -7.99307e-07 1205.76 33 1 
0.000185235 4.42286e-05 8.5828e-05 0.002204 3.45264e-06 3.45264e-06 1191.94 34 1 
0.000236345 6.95451e-05 4.79072e-06 0.00347096 2.33771e-06 2.33771e-06 1183.89 35 1 
0.000253346 6.52133e-05 4.68514e-06 0.00326208 2.48954e-07 2.48954e-07 1188.7 36 1 
0.000262868 5.57595e-05 1.28436e-06 0.00277976 4.34129e-06 4.34129e-06 1187.03 37 1 
0.000283474 5.40655e-05 2.02979e-06 0.00270226 7.097e-07 7.097e-07 1186.16 38 1 
0.000317416 5.45764e-05 1.11172e-06 0.00273007 -3.0127e-07 -3.0127e-07 1203.94 39 1 
0.000345487 5.87116e-05 1.25432e-05 0.00293707 1.08302e-07 1.08302e-07 1188.8 40 1 
